Type	Term	ReplacedTerm (if singular)	Relevant Pattern Doc	Related / Contextual Terms	
DatatypeProperty	http://id.loc.gov/ontologies/bibframe/originDate	dcterms:date	Activities	bib:CreatorActivity	
ObjectProperty	http://id.loc.gov/ontologies/bibframe/originPlace	bib:atLocation	Activities	bib:CreatorActivity	
SymmetricProperty	http://id.loc.gov/ontologies/bibframe/otherPhysicalFormat	rdau:	Relations		
Class	http://id.loc.gov/ontologies/bibframe/ParallelTitle	bib:ParallelTitle	Title		
DatatypeProperty	http://id.loc.gov/ontologies/bibframe/part	dcterms:hasPart	Title	bib:TitleElement	
DatatypeProperty	http://id.loc.gov/ontologies/bibframe/partName		Title	bib:TitleElement	
DatatypeProperty	http://id.loc.gov/ontologies/bibframe/partNumber	vivo:rank	Title		
ObjectProperty	http://id.loc.gov/ontologies/bibframe/partOf	dcterms:isPartOf			
Class	http://id.loc.gov/ontologies/bibframe/Person	foaf:Person			
DatatypeProperty	http://id.loc.gov/ontologies/bibframe/physicalLocation	bib:atLocation			
ObjectProperty	http://id.loc.gov/ontologies/bibframe/place	bib:atLocation			
Class	http://id.loc.gov/ontologies/bibframe/Place	prov:Location			
ObjectProperty	http://id.loc.gov/ontologies/bibframe/precededBy	rdau:P60261	Relations		
DatatypeProperty	http://id.loc.gov/ontologies/bibframe/preferredCitation	bib:specifyingPreferredCitation	Notes & Annotations	http://www.w3.org/ns/oa#Motivation	
Class	http://id.loc.gov/ontologies/bibframe/Production	bib:ProductionActivity	Activities		
ObjectProperty	http://id.loc.gov/ontologies/bibframe/provisionActivity	bib:hasActivity	Activities		
Class	http://id.loc.gov/ontologies/bibframe/ProvisionActivity		Activities		
DatatypeProperty	http://id.loc.gov/ontologies/bibframe/provisionActivityStatement	bib:provisionActivityStatement	Notes & Annotations	http://www.w3.org/ns/oa#Motivation	
Class	http://id.loc.gov/ontologies/bibframe/Publication	bib:PublisherActivity	Activities		
DatatypeProperty	http://id.loc.gov/ontologies/bibframe/qualifier				
ObjectProperty	http://id.loc.gov/ontologies/bibframe/replacedBy	rdau:P60104	Relations		
ObjectProperty	http://id.loc.gov/ontologies/bibframe/replacementOf	rdau:P60278	Relations		
ObjectProperty	http://id.loc.gov/ontologies/bibframe/reproductionOf	rdau:P60297	Relations		
ObjectProperty	http://id.loc.gov/ontologies/bibframe/review	bib:reviewing	Notes & Annotations	http://www.w3.org/ns/oa#Motivation	Also -- ReviewerActivitity?
Class	http://id.loc.gov/ontologies/bibframe/Review		Notes & Annotations	http://www.w3.org/ns/oa#Motivation	Also -- ReviewerActivitity?
ObjectProperty	http://id.loc.gov/ontologies/bibframe/role		Activities		
Class	http://id.loc.gov/ontologies/bibframe/Role		Activities		
ObjectProperty	http://id.loc.gov/ontologies/bibframe/separatedFrom	rdau:P60277	Relations		
