http://www.w3.org/1999/02/22-rdf-syntax-ns#type	BIBFRAME	bibliotek-o usage
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/Enumeration	http://id.loc.gov/ontologies/bibframe/Enumeration
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/EnumerationAndChronology	http://id.loc.gov/ontologies/bibframe/EnumerationAndChronology
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/Extent	http://id.loc.gov/ontologies/bibframe/Extent
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/Family	http://id.loc.gov/ontologies/bibframe/Family
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/FileSize	http://id.loc.gov/ontologies/bibframe/FileSize
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/FileType	http://id.loc.gov/ontologies/bibframe/FileType
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/Fingerprint	http://id.loc.gov/ontologies/bibframe/Fingerprint
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/FontSize	http://id.loc.gov/ontologies/bibframe/FontSize
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/Frequency	http://id.loc.gov/ontologies/bibframe/Frequency
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/Generation	http://id.loc.gov/ontologies/bibframe/Generation
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/GenerationProcess	http://id.loc.gov/ontologies/bibframe/GenerationProcess
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/GenreForm	http://id.loc.gov/ontologies/bibframe/GenreForm
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/GrooveCharacteristic	http://id.loc.gov/ontologies/bibframe/GrooveCharacteristic
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/Gtin14Number	http://id.loc.gov/ontologies/bibframe/Gtin14Number
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/Hdl	http://id.loc.gov/ontologies/bibframe/Hdl
